Year,player1,player2,game,ace1,ace2,error1,error2,total1,total2
2013,Rafael Nadal,Novak Djokovic,Nadal v. Djokovic,1,6,20,53,121,102
2012,Andy Murray,Novak Djokovic,Murray v. Djokovic,5,7,56,65,160,155
2011,Novak Djokovic,Rafael Nadal,Djokovic v. Nadal,7,2,51,37,146,122
2010,Rafael Nadal,Novak Djokovic,Nadal v. Djokovic,8,5,31,47,136,119
2009,Juan Martin Del Potro,Roger Federer,Del Potro v. Federer,8,13,60,62,180,172
2008,Roger Federer,Andy Murray,Federer v. Murray,3,3,33,28,94,68
2007,Roger Federer,Novak Djokovic,Federer v. Djokovic,11,5,34,40,119,103
2006,Roger Federer,Andy Roddick,Federer v. Roddick,17,7,19,23,126,99
2005,Roger Federer,Andre Agassi,Federer v. Agassi,19,6,37,28,132,106
2004,Roger Federer,Llewyn Hewitt,Federer v. Hewitt,11,1,26,23,100,64
2003,Andy Roddick,Juan Carlos Ferrero,Roddick v. Ferrero,22,7,19,21,99,76
